Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","% Away From 52W High","ROCE","Debt to Equity","5Y Historical Revenue Growth","Sector PE","No. of analysts with buy reco","Percentage Buy Reco’s","Percentage Upside","Fundamental Score","Value Momentum Rank","Earnings Quality Rank","Price Momentum Rank","Price to Intrinsic Value Rank","Total Revenue","Total Debt","Expense Ratio"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1630441.33703082","2408.7","26.85843566478577","18.5764105118944","9.47014715629877","33.85503707632419","17.93531533106605","12.70631060421709","23","69.6969696969697","10.82518829580259","5.593750000000001","82","3","56","53","718025","270648",
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1213012.1206632298","3315.1","31.649023421171233","21.957105366353957","53.230600671583495","8.701555995815061","9.886695906884002","25.377926607793576","22","48.8888888888889","20.779896544335962","6.761956521739131","39","97","53","38","195772","7818",
HDFC Bank Ltd,HDFCBANK,"Private Banks","751947.57798975","1353.75","19.760663236947394","27.423822714681446","9.005233503891546",,"14.242192722984237","18.157425027422967","36","92.3076923076923","43.27465875370921","8.128571428571428","35","29","17","59","167695.4",,
Infosys Ltd,INFY,"IT Services & Consulting","620444.82733558","1479.4","28.06172896135595","32.073813708260104","36.46271924548276","7.227738459913383","11.618708459636217","25.377926607793576","37","78.7234042553192","37.087420480197004","5.870652173913044","31","97","47","52","123936","5474",
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","536258.9616825699","2282.35","60.396324099850204","25.278769689136205","20.236044980245165","2.124798826573227","9.348279577290164","42.670964289078235","28","75.6756756756757","12.558504438267736","7.666666666666667","12","63","38","17","52887","1043",
ICICI Bank Ltd,ICICIBANK,"Private Banks","489657.82112944","703.9","19.500432938516376","23.170904958090645","5.670717125657434",,"6.898180150027122","18.157425027422967","44","97.7777777777778","32.82451216063347","4.697142857142857","73","68","42","71","158290.75",,
Life Insurance Corporation Of India,LICI,"Insurance","427980.96943816496","676.65","103.76050850684072","35.80876376265427","0.21197631068389047","0.052554326423943004",,"18.157425027422967","2","40","38.167272592372775",,"3","80",,,"724536","3.67",
State Bank of India,SBIN,"Public Banks","416645.48946479","466.85","11.77833727781036","17.59665845560672","3.8736798547811326",,"6.3857512707167","18.157425027422967","43","100","35.19167203262505","3.982857142857143","89","39","43","85","406973.08999999997",,
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","401097.61368102","2210.55","17.751852921240328","36.667345230824886","4.218242998921727","263.43696948258514","18.862735175885792","18.157425027422967","23","100","39.86203560817193",,"48","11","5","56","144937.87","507459.52999999997",
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","381359.614170375","673.45","89.62833772130364","16.088796495656688","12.500708820128084","200.40873309974808","3.9910724419316423","-164.40969921343853","28","93.3333333333333","22.656252281188404","6.025","51","59","55","43","121203","162785.19999999998",
