Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","Return on Equity","Return on Investment","% Away From 52W High","6M Return","Debt to Equity","Earning Power","Long Term Debt to Equity","5Y Historical Revenue Growth","1Y Forward Revenue Growth","Sector PE"," MF Holding Change – 6M","FII Holding Change – 6M","Percentage Buy Reco’s","No. of analysts with buy reco","Fundamental Score","Total Revenue","Earnings Per Share"
Ramco Cements Limited,RAMCOCEM,"Cement","15250.3102052","17.089480047961636","14.58613308515588","9.852742888337083","75.5035636814379","-36.997266692698176","54.19614117089374","7.995411438404059","37.82792292101268","8.522073106305372","16.379634524767294","11.33587913952648","-1.415298986596948","-1.0853041068266913","46.875","15","5.162162162162163","6031.69","39"
ZF Commercial Vehicle Control Systems India Ltd,ZFCVINDIA,"Auto Parts","14967.13085856","105.35039669571326","5.335985648712145","5.299539170506922","11.268042935533341","-6.917845789073245","0","7.917285914009082","0","4.173985171100791","32.41488768039713","116.53524013940141","-0.04183453200998244","0.04349526012379856","80","4",,"2580.88","74.9"
Fine Organic Industries Ltd,FINEORG,"Specialty Chemicals","14929.4271","57.50713416278265","17.821386255924153","15.41011174341663","26.092804994506437","27.10886617852436","12.190687118912859","37.66156965447326","7.757088562600825","19.53573257592762","19.329854851611124","11.33587913952648","0.4744980883220524","0.4608222785301592","40","4","6.772368421052633","1909.32","84.71"
Sanofi India Ltd,SANOFI,"Pharmaceuticals","14719.21597953","15.585785662357058","43.4746581963817","42.049595591502964","45.27901864296724","-16.973791042837195","1.1053199137311287","41.143417183926815","0.7907979870596694","7.665833327330129","6.5908631536223865","32.92951730870654","-0.25368832852191225","-1.3496682807785216","71.4285714285714","5","6.549333333333332","3520.2","410.0627416836591"
DCM Shriram Ltd,DCMSHRIRAM,"Diversified Chemicals","14529.677694839998","13.612852105532376","21.031651418629103","16.283494865851047","34.13818722139672","-11.016669027718738","28.66825402595515","17.61448051504493","18.305645425133594","11.310950100754713",,"11.33587913952648","-0.044869802353044774","0.0182894575311372",,"0","7.361111111111112","9971.2","118.84764142131661"
Alembic Pharmaceuticals Ltd,APLLTD,"Pharmaceuticals","14330.43455522","26.518198658808295","28.53457859718898","21.45107746696464","39.45545573005968","-13.337295690936111","9.86368579249532","9.507257437047063","3.9449611898235046","11.506238258986134","5.0365532748186705","32.92951730870654","0.7394571120064217","0.4974320615702057","31.25","5","6.259333333333332","5356.25","27.76"
Indian Energy Exchange Ltd,IEX,"Power Trading & Consultancy","14224.384540125","45.99639301576396","43.67470198675496","36.67471323101862","100.73070866141735","-39.32734569080833","2.1104713925872614","41.477550521512384","1.8010075566750627","16.12742566119667","20.589664874159894","22.926733317170665","-2.25074682708755","-11.722157938117164","33.3333333333333","4","6.5166666666666675","491.82","3.45"
Godrej Industries Ltd,GODREJIND,"Diversified Chemicals","14150.589132995","21.645922832048395","2.9450353088229133","3.435137674845728","57.487807779231595","-33.0439630455559","74.94487774377201","6.620300819798573","23.84834124640621","11.516137391101111",,"11.33587913952648","1.7282406821153269","0.5526630678675417","100","1","4.710000000000001","15349.62","19.42"
ICICI Securities Ltd,ISEC,"Investment Banking & Brokerage","14037.405641690002","10.152904413199767","70.43821021555918","19.583934028121686","106.03587031501496","-44.771096577560485","199.21464675568433","22.647358301215885","5.979331653961606","19.615001789393393","8.355702449501594","18.361570903897096","-0.9805191448343251","1.0338542197838096","70","7","5.731666666666667","3438.48","42.86"
Carborundum Universal Ltd,CARBORUNIV,"Industrial Machinery","13962.778149319998","41.88749669802603","13.899325102236851","12.840194460550363","40.749303052967974","-25.379268354558832","2.7134002482969666","17.999380335738575","0.7833723492466337","9.457164528742702","29.992851793367926","43.29238706887016","0.028592535265023145","0.3675116734457742","88.8888888888889","8","6.325490196078433","3384.88","17.57"
Mangalore Refinery and Petrochemicals Ltd,MRPL,"Oil & Gas - Refining & Marketing","13828.004350530002","4.6743866645922365","-10.834669721267627","-0.03475613903452105","61.78707224334601","78.30508474576273","561.0336385678303","11.281370086701383","369.56074480355926","8.808497732968235",,"12.667979274708134","-0.5537597724798594","0.21530717980182634","66.6666666666667","2","4.4125000000000005","69832.82","16.88"
IIFL Wealth Management Ltd,IIFLWAM,"Asset Management","13802.235913319999","23.890460791927023","12.688511293493347","4.8968022696736195","22.728149720239244","5.707196029776677","166.62034040958068","8.59725089371129","149.60233682371623","36.10601887272091","9.431264761556987","18.361570903897096","1.9368590758460071","-3.5393448124896167","100","4",,"2077.83","65.41"
Aptus Value Housing Finance India Ltd,APTUS,"Home Financing","13747.4057053","37.14109716674772","14.474333461661507","5.939232665557167","42.35760634462871","-20.20710484682871","127.05903154916771","10.619559085428579","125.29086362373388","46.06853702866862","0.35436636328922494","18.361570903897096","0.2517716079112837","1.0702907689650196","83.3333333333333","5",,"840.22","7.58"
Affle (India) Ltd,AFFLE,"Advertising","13658.23365","63.85933069945766","45.82384335588267","28.967797284007464","47.41463414634146","-22.19523303476545","33.05584943482376","33.46842776655681","25.076563283033575","76.7809344771037","42.728915662650614","-169.74697092419598","-0.7205833859783173","-0.7345074778392","100","9",,"1153.33","16.18"
Tanla Platforms Ltd,TANLA,"Software Services","13545.367012555002","25.117502990199917","44.66027940106839","39.935372444147255","110.12677256100613","-44.55618835949437","0.48706751763520323","41.88515440902888","0.39077370955100216","40.82331146313645","20.480340868715288","25.15195670547271","0.03370342650877406","-1.4771554754888907","100","2","5.88695652173913","3222.1","39.77"
New India Assurance Company Ltd,NIACL,"Insurance","13513.6","69.45366706069774","6.953359714620931","6.406992243902117","117.56097560975611","-41.512125534950066","0","0.19207260627851788","0","10.259871495266237","-26.76993731103369","18.361570903897096","-0.03187402912621354","0.152051031553398","0","0","5.2666666666666675","35865.71","1.18"
KPIT Technologies Ltd,KPITTECH,"IT Services & Consulting","13502.178832875","49.236694865167934","12.91908114869673","11.349049788841963","60.18398160183982","-17.775219929293755","19.010341321473746","18.49720971365258","15.908771523753629",,"19.20105731573854","25.15195670547271","-1.2600787977673367","-3.8046677311785224","42.8571428571429","3",,"2477.39","10.17"
Hitachi Energy India Ltd,POWERINDIA,"Heavy Electrical Equipments","13388.3711325","65.82286692477861",,"19.373255998608617","27.97087685976574","26.14051550302474","16.77867165905739","9.347083328603713","4.666236897182066",,"-12.877775411756039","43.29238706887016","-0.43780714188384473","0.0024940024196782318","50","1",,"4986.75","47.992440128900164"
UTI Sensex 30 ETF,UTISENSETF,"Equity","13354.603115056001",,,,"30.947730985015266","-10.855768165487557",,,,,,,,,,"0",,,
UCO Bank,UCOBANK,"Public Banks","13330.89336624","13.820125820277788","4.19525917446556",,"37.21973094170403","-15.530303030303022",,"0.6539508233733146",,"-0.3914853076534608",,"18.361570903897096","0.01232076909533679","-0.06963631753674679",,"0","4.131428571428572","18082.15","0.8819482708064664"
